ID,official_name,nahuatl,type,subchapter
ID239,Tzotzolani,Tzotzolani,plant,
ID240,Xal-tomatl,Xal-tomatl,plant,5e; 9e; 11a
ID241,Xa-xocotl,Xa-xocotl; Xal-xocotl,plant,xa-xocotl 7k; xa-xocotl 9e
ID242,Xe-xihuitl,Xe-xihuitl,plant,8j
ID243,Xilo-xochitl,Xilo-xochitl,plant,9m
ID244,Tlaco-xilo-xochitl,Tlaco-xilo-xochitl,plant,
ID245,Xiuh-patli,Xiuh-patli,plant,xiuhpatli 11c
ID246,Xiuh-tlemaitl,Xiuh-tlemaitl,plant,9k
ID247,Xiuhtontli,Xiuhtontli,plant,5h; 7i; xiuh-tontli 8a; 8h; 9f; 9f
ID248,Xomalin,Xomalin,plant,
ID249,Xoxocoyolin,Xoxocoyolin,plant,
ID250,Ohua-xoxocoyolin,Ohua-xoxocoyolin,plant,ohua-xocoyolin 7j; ohua-xocoyolin 8c; ohua-xocoyolin 9h
ID251,Quauhtla xoxocoyolin,Quauhtla xoxocoyolin,plant,
ID252,xoxouhca-patli,Xoxouhqui; xoxouhca-patli,plant,xoxouhqui-patli 3a; quetzal-xoxouhqui 6i; xoxouhca-patli 8g
ID253,xoxouhqui-itzli,xoxouhqui-itzli,plant,7h
ID254,Zaca-matlalin,Zaca-matlalin,plant,9b; 9o
ID255,Zozoyatic,Zozoyatic,plant,10i
ID256,Temamatlatzin,Temamatlatzin,plant,5i
ID257,Tonatiuh yxiuh,Tonatiuh yxiuh,plant,6f; 6g; tonatiuh-yxiuh 8e; 9b; 9b; tonatiuh-yxiuh 9e; tonatiuh-yxiuh 9h; tonatiuh-yxiuh 9o; tonatiuh-yxiuh 10d; 13a
ID258,Tonatiuh yxiuh,Tonatiuh yxiuh,plant,tonatiuh-yxiuh 7h
ID259,Tecpatl,Tecpatl,plant,6f
ID260,Tetlahuitl,Tetlahuitl,plant,7b
ID261,Chichic-xihuitl,Chichic-xihuitl,plant,7m
ID262,Xococ quahuitl,Xococ quahuitl,plant,
ID263,teco-xochiti-xihuitl,teco-xochiti-xihuitl,plant,teco-xochiti-xihuitl 9b
ID264,tepaquilti quahuitl,tepaquilti quahuitl,plant,9q
ID265,a-camallo-tetl,a-camallo-tetl,plant,12a
ID266,tetlahuitl,tetlahuitl,stone,1a; 3a; 7c; 8j; 8k; 8l; tetlahuital 9f; 10e; 11c
ID267,iztac tlalli,iztac tlalli,stone,1a
ID268,eztetl,eztetl,stone,1a; 3a; ez-tetl 5d; 8d; 8j; 8k; 8l; 9e; 9f; 10e; 11a; 11b; 11c; 11c; 11c; 13a
ID269,te-mamatlatzin,te-mamatlatzin,stone,1a
ID270,atzitzicuilotl,atzitzicuilotl,animal,1c
ID271,avat-tecolotl,avat-tecolotl,animal,1e
